Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
199,Jalen Duren,1670,2022-23,19,DET,67,31,0,24.9,3.9,5.9,3.9,5.9,0,0,1.4,2.3,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,0.648,0.652,0,0.611,0.655,64.824,C,durenja01
200,Taurean Prince,1192,2022-23,28,MIN,54,4,0,22.1,3.3,7,1.9,3.4,1.4,3.6,1.2,1.4,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1,0.467,0.557,0.381,0.844,0.597,56.464,F,princta02
201,Jae'Sean Tate,677,2022-23,27,HOU,31,7,0,21.8,3.5,7.4,3.1,5.9,0.4,1.5,1.6,2.2,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,9.1,0.48,0.53,0.283,0.725,0.546,50.873,F,tateja01
202,Josh Green,1539,2022-23,22,DAL,60,21,0,25.7,3.4,6.4,2.3,3.6,1.1,2.8,1.1,1.6,0.9,2.1,3,1.7,0.7,0.1,1.2,2.6,9.1,0.537,0.643,0.402,0.723,0.645,62.565,G-F,greenjo02
203,Naji Marshall,1792,2022-23,25,NOP,77,21,0,23.3,3.2,7.4,2.4,4.6,0.9,2.8,1.8,2.3,0.6,3,3.6,2.5,0.7,0.2,1.3,1.5,9.1,0.433,0.513,0.303,0.789,0.539,49.037,F,marshna01
204,Bol Bol,1505,2022-23,23,ORL,70,33,0,21.5,3.7,6.8,3.3,5.2,0.4,1.6,1.2,1.5,1,4.8,5.8,1,0.4,1.2,1.6,1.3,9.1,0.546,0.633,0.265,0.759,0.603,57.741,F-C,bolbo01
205,Santi Aldama,1682,2022-23,22,MEM,77,20,0,21.8,3.2,6.8,2,3.4,1.2,3.5,1.4,1.9,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9,0.47,0.591,0.353,0.75,0.591,56,F,aldamsa01
206,Daniel Gafford,1604,2022-23,24,WAS,78,47,0,20.6,3.7,5.1,3.7,5.1,0,0,1.6,2.4,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9,0.732,0.732,,0.679,0.739,73.165,C-F,gaffoda01
207,Jose Alvarado,1310,2022-23,24,NOP,61,10,0,21.5,3.3,8,1.9,4,1.4,4,1.1,1.3,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9,0.411,0.488,0.336,0.813,0.525,49.591,G,alvarjo01
208,Mark Williams,828,2022-23,21,CHO,43,17,0,19.3,3.7,5.8,3.7,5.8,0,0,1.6,2.3,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,9,0.637,0.637,,0.691,0.659,63.745,C,willima07
209,AJ Griffin,1401,2022-23,19,ATL,72,12,0,19.5,3.4,7.4,2,3.8,1.4,3.6,0.6,0.7,0.5,1.6,2.1,1,0.6,0.2,0.6,1.2,8.9,0.465,0.536,0.39,0.894,0.577,56.004,F,griffaj01
210,Royce O'Neale,2409,2022-23,29,BRK,76,53,0,31.7,3,7.8,0.9,2.3,2.1,5.5,0.7,0.9,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,0.386,0.379,0.389,0.725,0.538,52.361,F,onealro01
211,Terance Mann,1872,2022-23,26,LAC,81,36,0,23.1,3.4,6.5,2.4,4,1,2.4,1.1,1.5,1,2.5,3.4,2.3,0.5,0.3,1,1.8,8.8,0.519,0.598,0.389,0.78,0.619,59.256,G-F,mannte01
212,Dennis Smith Jr.,1390,2022-23,25,CHO,54,15,0,25.7,3.4,8.4,3,6.3,0.4,2.1,1.4,2,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8,0.412,0.475,0.216,0.736,0.475,43.805,G,smithde03
213,Jaden Hardy,708,2022-23,20,DAL,48,5,0,14.8,3,6.9,1.7,3.7,1.3,3.3,1.4,1.6,0.2,1.6,1.9,1.4,0.4,0.1,1,1.3,8.8,0.438,0.469,0.404,0.823,0.571,53.303,G,hardyja02
214,Jordan Nwora,1188,2022-23,24,INDMIL,62,14,0,19.2,3.1,7.2,1.7,3.8,1.4,3.4,1.1,1.4,0.8,2.9,3.7,1.4,0.4,0.2,1.1,1.2,8.7,0.436,0.462,0.408,0.791,0.561,53.258,F,nworajo01
215,Cedi Osman,1548,2022-23,27,CLE,77,2,0,20.1,3.1,6.9,1.6,2.8,1.5,4.1,1,1.4,0.3,2,2.3,1.5,0.5,0.1,0.7,1.6,8.7,0.451,0.564,0.372,0.694,0.579,56.038,F,osmande01
